symbolRate_1,symbolRate_2,symbolRate_3,symbolRate_4,symbolRate_5,modulation,centerFrequency_1,centerFrequency_2,centerFrequency_3,centerFrequency_4,centerFrequency_5,powerdBm_1,powerdBm_2,powerdBm_3,powerdBm_4,powerdBm_5,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5,SNRdB_1,SNRdB_2,SNRdB_3,SNRdB_4,SNRdB_5,EVM_1,EVM_2,EVM_3,EVM_4,EVM_5,SER_1,SER_2,SER_3,SER_4,SER_5,runningTime
10000000000,6000000000,10000000000,6000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-400000000000,-200000000000,0,200000000000,400000000000,0,-16,0,-16,0,123.068810012332,30.5022639355706,95.5677883026545,29.9292284245271,122.747273909394,20.9014800129962,14.8433207469881,19.8031153537501,14.7609552087328,20.890118556687,0.0899132037045782,0.178160611016488,0.10189414638539,0.179771368443766,0.0900427520867806,0,0.035594358629953,0,0.0354744169007205,0,3819.283567
10000000000,6000000000,10000000000,6000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-400000000000,-200000000000,0,200000000000,400000000000,0,-17,0,-17,0,123.065401217201,28.5415361993518,95.6158744551265,28.0548328894201,122.755669880523,20.9013597192013,14.5547734456513,19.805300012294,14.4800768614164,20.8904156059913,0.0899142829803661,0.183971898987064,0.101868488507822,0.185476121931777,0.0900394676585102,0,0.0396239086635326,0,0.0401758456465991,0,4002.79922
10000000000,6000000000,10000000000,6000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-400000000000,-200000000000,0,200000000000,400000000000,0,-18,0,-18,0,123.05849016526,26.4042312334553,95.649130294373,26.0012089744522,122.758033724699,20.9011158231939,14.2167352740381,19.8068102548645,14.1499354176799,20.8904992350895,0.0899166575283712,0.191007439567633,0.101850717012826,0.192399728457208,0.0900384175730296,0,0.0451798034068014,0,0.0459763096837221,0,4060.12885
10000000000,6000000000,10000000000,6000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-400000000000,-200000000000,0,200000000000,400000000000,0,-19,0,-19,0,123.050366464288,24.1267111427897,95.6724645216023,23.8123293673773,122.757187814955,20.9008291144135,13.8249812464869,19.8078696152765,13.7680188099568,20.890469308315,0.0899194947738346,0.199473624258283,0.10183822567187,0.200707021282433,0.0900385693800638,0,0.0534831186275108,0,0.0553181096592991,0,3871.344618
10000000000,6000000000,10000000000,6000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-400000000000,-200000000000,0,200000000000,400000000000,0,-20,0,-20,0,123.042267398018,21.7628246161391,95.6890896889369,21.5313210260898,122.7547912511,20.9005432562197,13.3771526214705,19.8086242306414,13.3307067621184,20.8903845210503,0.0899223430811494,0.209573486139583,0.101829309359772,0.21062271281182,0.0900393141876603,0,0.0649001770559863,0,0.0666137501526438,0,3915.340713
10000000000,5000000000,10000000000,5000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-400000000000,-200000000000,0,200000000000,400000000000,0,0,0,0,0,63.2218652035973,39.0377298318212,40.2261304653383,37.6456628043301,63.1707016114632,18.0086730446909,15.9148455412325,16.0450825781668,15.7571494790328,18.0051570045452,0.124916087395337,0.177770324061513,0.156011994908148,0.179320671590692,0.124961050568141,0,0.0398070700286953,0,0.0435340090365124,0,2829.376425
10000000000,5000000000,10000000000,5000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-400000000000,-200000000000,0,200000000000,400000000000,0,10,0,10,0,0.807753439164069,2.45547536045578,0.273910520184061,2.52758004252645,0.801192162029559,-0.927211842149327,3.90135580547941,-5.6239128731469,4.02704917567543,-0.962633080104661,0.744358285597949,0.817457415994172,0.897237326990501,0.812443534558798,0.745804677358651,0.272227817965388,0.947432688198303,0.480206330311632,0.945903040664306,0.272227817965388,3672.201246
10000000000,5000000000,10000000000,5000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-400000000000,-200000000000,0,200000000000,400000000000,0,1,0,1,0,48.0667887906536,36.4753545435832,29.6510026934348,35.6140978575723,47.8885595629807,16.8184510908343,15.6199952196572,14.7203938427238,15.5162194768549,16.8023177412222,0.142873755491602,0.192925463231951,0.180877099648711,0.193288992701953,0.143125351525505,0,0.0549484095488125,0,0.0573940652094273,0,2798.719704
10000000000,5000000000,10000000000,5000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-400000000000,-200000000000,0,200000000000,400000000000,0,2,0,2,0,34.7153580375592,32.9779099774155,20.8945314274196,32.4075040738461,34.5069737538391,15.4052164872074,15.182231281418,13.2003263627085,15.1064558429674,15.3790687352974,0.167421626770744,0.214800153976925,0.213951514568416,0.21434554333583,0.167900597775763,0,0.0810794309786922,0,0.0813896690682623,0,2820.922009
10000000000,5000000000,10000000000,5000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-400000000000,-200000000000,0,200000000000,400000000000,0,3,0,3,0,24.0004675392554,28.7189164762982,14.1885081693671,28.1954393635038,23.8166607827729,13.8021970203414,14.5816805056882,11.5193673457858,14.5017886649517,13.7688087111511,0.20006747730977,0.24514477685908,0.256807265511047,0.244255227258888,0.200794210706435,0,0.123878136638378,3.05222354485242e-05,0.120466479423617,0,2988.495863
