symbolRate_1,symbolRate_2,symbolRate_3,symbolRate_4,symbolRate_5,symbolRate_6,symbolRate_7,modulation,centerFrequency_1,centerFrequency_2,centerFrequency_3,centerFrequency_4,centerFrequency_5,centerFrequency_6,centerFrequency_7,powerdBm_1,powerdBm_2,powerdBm_3,powerdBm_4,powerdBm_5,powerdBm_6,powerdBm_7,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5,SNR_6,SNR_7,SNRdB_1,SNRdB_2,SNRdB_3,SNRdB_4,SNRdB_5,SNRdB_6,SNRdB_7,EVM_1,EVM_2,EVM_3,EVM_4,EVM_5,EVM_6,EVM_7,SER_1,SER_2,SER_3,SER_4,SER_5,SER_6,SER_7,runningTime
10000000000,1000000000,10000000000,1000000000,10000000000,1000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK+16QAM+OOK,-300000000000,-200000000000,-100000000000,0,100000000000,200000000000,300000000000,0,-10,0,-10,0,-10,0,52.4397204475866,36.7803339963446,39.7645897508835,34.0241972182582,39.5195003721472,36.9234688030756,52.0844219161599,17.1966036783128,15.6561566867886,15.9949650621926,15.3178788706292,15.9681144535408,15.6730249439257,17.1670784829947,0.136886500032705,0.162744518090049,0.156707425453705,0.169187009434987,0.157175391945962,0.162583662860527,0.137353533554259,0,0.0369397972890463,0,0.0419439526222602,0,0.0368764881860919,0,18940.961026
10000000000,1000000000,10000000000,1000000000,10000000000,1000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK+16QAM+OOK,-300000000000,-200000000000,-100000000000,0,100000000000,200000000000,300000000000,0,-11,0,-11,0,-11,0,52.9686332731695,36.8799854564254,40.239570975409,34.2237936860747,39.9041116731063,37.0230945343785,52.6313779806645,17.240187671667,15.6679074111816,16.0465334172964,15.3432814914455,16.0101764718904,15.684727159576,17.2124474074812,0.136215300399266,0.162478564189699,0.155803679502363,0.16863618362794,0.156435815011943,0.162297007914459,0.136652746338676,0,0.0371840273537672,0,0.0418828988338726,0,0.0362048965138287,0,18432.936744
10000000000,1000000000,10000000000,1000000000,10000000000,1000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK+16QAM+OOK,-300000000000,-200000000000,-100000000000,0,100000000000,200000000000,300000000000,0,-12,0,-12,0,-12,0,53.3050812196201,36.606633254039,40.5437331860814,34.1684904432315,40.1510485831718,36.914755890093,52.9835832931037,17.2676860941047,15.635597882525,16.0792373516779,15.3362579218312,16.0369689178005,15.6720000086532,17.2414132639982,0.135793509174998,0.163040698442635,0.155233163752677,0.168724249668506,0.155966506592793,0.162477491491724,0.136207192754167,0,0.0374282574184882,0,0.0418218450454851,0,0.0363880578789914,0,18854.463723
10000000000,1000000000,10000000000,1000000000,10000000000,1000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK+16QAM+OOK,-300000000000,-200000000000,-100000000000,0,100000000000,200000000000,300000000000,0,-13,0,-13,0,-13,0,53.517362694594,36.6449447972708,40.7369273168416,34.0078467543948,40.3087668792328,36.7836349312251,53.209202158598,17.2849470350031,15.6401407179911,16.0998826816768,15.3157913495275,16.0539951247366,15.6565464367778,17.2598674697742,0.135529434603779,0.16294312056171,0.154874075956707,0.169083690234235,0.155669008352711,0.162729565989542,0.135924107660049,0,0.0374893149346685,0,0.0414555223151597,0,0.0363270040906038,0,21053.407823
10000000000,1000000000,10000000000,1000000000,10000000000,1000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK+16QAM+OOK,-300000000000,-200000000000,-100000000000,0,100000000000,200000000000,300000000000,0,-14,0,-14,0,-14,0,53.650425706873,36.2659546294146,40.8589181401877,33.7689276484782,40.4091957606529,36.4932226795683,53.3533332925548,17.2957317236744,15.5949911389015,16.1128686322724,15.2851726958587,16.0648020703294,15.6221221716441,17.2716155750634,0.135364725401675,0.163763488702506,0.154648647931122,0.16964652170349,0.155480493694623,0.163338261922483,0.135744225698532,0,0.0378556600317499,0,0.0418218450454851,0,0.0359606813602784,0,21013.995175
10000000000,1000000000,10000000000,1000000000,10000000000,1000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK+16QAM+OOK,-300000000000,-200000000000,-100000000000,0,100000000000,200000000000,300000000000,0,-15,0,-15,0,-15,0,53.7333385977683,36.1081089943431,40.9355948923517,33.6099374222351,40.4730455667337,36.2675401861859,53.4453139713698,17.302438252987,15.5760474473183,16.1210110611164,15.264677038648,16.0716588595965,15.5951810094043,17.2790963273297,0.135262424353017,0.164110352253869,0.154507486418495,0.170026125634145,0.155361024728034,0.163821988984834,0.135629832075734,0,0.0379167175479301,0,0.0424323829293608,0,0.036449111667379,0,20821.643313
10000000000,1000000000,10000000000,1000000000,10000000000,1000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK+16QAM+OOK,-300000000000,-200000000000,-100000000000,0,100000000000,200000000000,300000000000,0,-16,0,-16,0,-16,0,53.7846887741587,35.8657566264066,40.983597398348,33.0364537746978,40.51361883422,35.8706074376814,53.5040301746307,17.3065865991744,15.5467999717361,16.1261007660499,15.1899342276647,16.076010377908,15.5473873113929,17.2838649635173,0.135199204767924,0.164650499659145,0.154419332092243,0.171445388901283,0.155285272949421,0.164695911288425,0.13555698249736,0,0.0387715227744535,0,0.043531351120337,0,0.0373038647048049,0,21119.577648
10000000000,1000000000,10000000000,1000000000,10000000000,1000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK+16QAM+OOK,-300000000000,-200000000000,-100000000000,0,100000000000,200000000000,300000000000,0,-17,0,-17,0,-17,0,53.8162718641739,35.4094876114939,41.0135317305613,32.8789510387518,40.5394084511156,35.4127541960204,53.5415627294237,17.3091360860986,15.4911964240028,16.1292716858164,15.1691795347419,16.0787740720132,15.4915970494558,17.2869104288492,0.135160383035624,0.165681865719579,0.154364452571637,0.171841157012582,0.155237197355932,0.165724365291182,0.135510494929261,0,0.0391989253877152,0,0.0440197814274376,0,0.0377312412235179,0,21146.080714
10000000000,1000000000,10000000000,1000000000,10000000000,1000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK+16QAM+OOK,-300000000000,-200000000000,-100000000000,0,100000000000,200000000000,300000000000,0,-18,0,-18,0,-18,0,53.8355330019644,34.864149537071,41.0321203996421,32.3767839440425,40.5558167500549,34.515390312231,53.5656104973986,17.310690171691,15.4237907565417,16.1312396040025,15.1023370714982,16.0805315204367,15.3801278890757,17.2888605901306,0.135136738110853,0.166940101877425,0.154330416569565,0.173126768870705,0.15520664651986,0.167804593309156,0.135480748578446,0,0.0397484430333374,0,0.0449355882532511,0,0.0392575859332072,0,21006.638458
10000000000,1000000000,10000000000,1000000000,10000000000,1000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK+16QAM+OOK,-300000000000,-200000000000,-100000000000,0,100000000000,200000000000,300000000000,0,-19,0,-19,0,-19,0,53.8471515238873,34.1727053294446,41.0436075080722,31.7614357092381,40.5662728006596,34.1439035731759,53.5810698354142,17.3116273437166,15.3367936168263,16.1324552588529,15.0190012557203,16.0816510687941,15.3331317124201,17.2901138077235,0.135122492974703,0.168576752029641,0.154309405910804,0.174743736276352,0.15518719820347,0.168687483236288,0.135461647035424,0,0.0407253632922213,0,0.0454850723487392,0,0.0398070700286953,0,20928.188843
