symbolRate_1,symbolRate_2,symbolRate_3,symbolRate_4,symbolRate_5,modulation,centerFrequency_1,centerFrequency_2,centerFrequency_3,centerFrequency_4,centerFrequency_5,powerdBm_1,powerdBm_2,powerdBm_3,powerdBm_4,powerdBm_5,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5,SNRdB_1,SNRdB_2,SNRdB_3,SNRdB_4,SNRdB_5,EVM_1,EVM_2,EVM_3,EVM_4,EVM_5,SER_1,SER_2,SER_3,SER_4,SER_5,BER_1,BER_2,BER_3,BER_4,BER_5,achievableDataRate_1,achievableDataRate_2,achievableDataRate_3,achievableDataRate_4,achievableDataRate_5,runningTime
10000000000,1000000000,10000000000,1000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-20,0,-20,0,350.068193791766,32.3029512340788,345.401221200207,32.4637511625522,348.010715261646,25.4415265378639,15.0924220177768,25.3832386872528,15.1139870079743,25.4159261609417,0.0533853132085969,0.17332091497275,0.0537468425824714,0.172863722548027,0.0535443085854733,0,0.0364891864125377,0,0.0374669424624033,0,0,0.00912229660313444,0,0.00936673561560083,0,10000000000,3700344154.32638,10000000000,3693835496.24908,10000000000,2417.779804
10000000000,1000000000,10000000000,1000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-11,0,-11,0,350.143830242137,36.0226518146834,345.581105732133,36.1766160419009,348.043024896634,25.4424647820535,15.5657568033507,25.3854998988154,15.5842794054861,25.4163293452187,0.0533795385699768,0.164374179796614,0.0537328200484425,0.164060432144636,0.0535417844155847,0,0.0319050584531971,0,0.0311103477787427,0,0,0.00797626461329927,0,0.00777758694468566,0,10000000000,3731812803.39156,10000000000,3737439337.67497,10000000000,2510.181882
10000000000,4000000000,10000000000,4000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-14,0,-14,0,348.33361854696,16.7157205209606,348.846990145107,16.4157358547612,347.84149954209,25.4199539132546,12.2312510133141,25.4263498023473,12.1526035526514,25.4138139465048,0.0535163043201664,0.237409822114375,0.0534766815347329,0.23959463025198,0.0535554036223424,0,0.128285075055925,0,0.127536054754339,0,0,0.0320712687639813,0,0.0318840136885847,0,10000000000,12725293600.9714,10000000000,12740594396.4532,10000000000,596.496002
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-13,0,-13,0,364.470889874336,10.2988580305508,340.874559534101,10.2582854659093,351.636168843651,25.6166284713465,10.1278907145026,25.3259458977027,10.1107478037452,25.4609353967061,0.0523498157209865,0.297574640774918,0.0540954289982395,0.298093796593355,0.0532568602748996,0,0.218040578157069,0,0.222625252250441,0,0,0.0545101445392674,0,0.0556563130626103,0,10000000000,91708715748.6887,10000000000,91091131980.0453,10000000000,618.278045
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-12,0,-12,0,364.448193741549,10.8790157275622,340.785910883346,10.8746039087227,351.597911172935,25.6163580214309,10.3658960460617,25.32481631423,10.3641344738402,25.460462862858,0.0523515910084831,0.290229048792091,0.0541023452693692,0.290283633457907,0.0532596913956269,0,0.205588015273742,0,0.208396583552581,0,0,0.0513970038184355,0,0.0520991458881453,0,10000000000,93419043746.889,10000000000,93035095396.6373,10000000000,580.284453
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-11,0,-11,0,364.408244185903,11.3881337028598,340.665864441885,11.3311454002188,351.544005220093,25.6158819366854,10.5645255735737,25.3232861837197,10.5427381240991,25.4597969643427,0.052354601447241,0.284215495084191,0.0541117399823906,0.284832951996658,0.0532636978295147,0,0.196669545381504,0,0.200292417096803,0,0,0.0491673863453759,0,0.0500731042742008,0,10000000000,94667458927.1787,10000000000,94161004535.9369,10000000000,562.632878
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-10,0,-10,0,364.341775007194,11.8267288704146,340.50278156064,11.8133526053882,351.466665094633,25.6150896980068,10.7286464065706,25.3212066400652,10.7237316699481,25.4588414058777,0.0523595043838326,0.279328204070437,0.0541245377697636,0.279452208535973,0.053269468479692,0,0.189490333271852,0,0.192317698045655,0,0,0.0473725833179631,0,0.0480794245114138,0,10000000000,95686492532.81,10000000000,95287024779.0453,10000000000,639.690674
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-9,0,-9,0,364.234451208621,12.143274404755,340.280076826489,12.1791693869508,351.353760302453,25.6138102125623,10.8433580899397,25.318365221854,10.8561767064789,25.457446058592,0.0523673180190601,0.275944964141481,0.0541420592843523,0.275549939409083,0.0532779225082107,0,0.185993262227532,0,0.187192419995566,0,0,0.046498315556883,0,0.0467981049988916,0,10000000000,96187292877.4384,10000000000,96018754303.3842,10000000000,628.6979
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-8,0,-8,0,364.063948147052,12.5054778119444,339.973723556675,12.4808399332067,351.186240063565,25.6117767455052,10.9710028999907,25.3144535187951,10.9624381339786,25.4553749134131,0.0523796314212527,0.272255590561104,0.0541662234748402,0.272455526172912,0.0532905065433986,0,0.181496995748788,0,0.183047802441876,0,0,0.0453742489371969,0,0.045761950610469,0,10000000000,96837537531.9358,10000000000,96615672873.5262,10000000000,558.988022
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-7,0,-7,0,363.795281588105,12.6941330633156,339.548282640985,12.7221819893212,350.933975995091,25.6085706197997,11.0360304639332,25.3090153824429,11.0456160381658,25.4522541686994,0.0523989428957517,0.270384266011256,0.0541998722372245,0.270060256805279,0.0533095147878188,0,0.17951716446731,0,0.181068005395599,0,0,0.0448792911168274,0,0.0452670013488998,0,10000000000,97124342657.6098,10000000000,96902127668.3887,10000000000,646.607575
