symbolRate_1,symbolRate_2,symbolRate_3,symbolRate_4,symbolRate_5,modulation,centerFrequency_1,centerFrequency_2,centerFrequency_3,centerFrequency_4,centerFrequency_5,powerdBm_1,powerdBm_2,powerdBm_3,powerdBm_4,powerdBm_5,SNR_1,SNR_2,SNR_3,SNR_4,SNR_5,SNRdB_1,SNRdB_2,SNRdB_3,SNRdB_4,SNRdB_5,EVM_1,EVM_2,EVM_3,EVM_4,EVM_5,SER_1,SER_2,SER_3,SER_4,SER_5,runningTime
10000000000,1000000000,10000000000,1000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-20,0,-20,0,348.204190451335,28.3367568532767,344.142296137048,28.2843440874712,349.849585072048,25.4183399331474,14.5235014367703,25.3673805201668,14.5154611192583,25.4388136316733,0.0535265665948042,0.184587022265837,0.0538474159909887,0.184760957232471,0.0534014284078511,0,0.0575161802417878,0,0.0562305391049515,0,2755.523354
10000000000,1000000000,10000000000,1000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-11,0,-11,0,348.355156463168,31.1238541822734,344.149293199084,31.0003454633819,349.973679287043,25.420222434824,14.9309337194393,25.3674688195294,14.9136653357635,25.4403538329247,0.0535149942917757,0.17645000893538,0.0538468641539576,0.176840301802775,0.0533919768757022,0,0.0526926364635487,0,0.0515293973991086,0,2808.674344
10000000000,4000000000,10000000000,4000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-14,0,-14,0,348.739391911801,16.1207549935688,347.380014075973,15.9072240106729,347.916180771208,25.4250100594692,12.0738537753499,25.4080482842828,12.0159439699193,25.4147462724209,0.0534896813512571,0.241695094501933,0.05358974063223,0.243183587046132,0.0535482760556685,0,0.140484767079797,0,0.140310172182196,0,633.394179
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-13,0,-13,0,281.117999825269,10.3393117933707,242.57582578183,10.4951528365666,295.810689567268,24.4888865412583,10.1449163215362,23.8484751848987,10.2098876741525,24.7101386383328,0.059551807670709,0.29694704435692,0.0640991661871587,0.29498830541511,0.0580607556287228,0,0.220099145425622,0,0.216529170211979,0,747.85684
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-12,0,-12,0,269.040651846785,10.9263544844183,225.274665091846,11.1015287349247,283.384808907734,24.2981790654089,10.3847528625082,23.5271235271145,10.4538278738372,24.5237656579721,0.0608697813664948,0.289546062306591,0.0665062974700324,0.287508321928335,0.0593165298945452,0,0.208908290481299,0,0.204357959379971,0,728.41382
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-11,0,-11,0,255.295676192929,11.4413030908898,206.711024665763,11.6349988780303,269.111936771884,24.0704345945191,10.5847549062431,23.1536363978077,10.6576634574348,24.2993296182613,0.0624817593734759,0.283490983057463,0.0694168937573979,0.281380385723753,0.0608646565159092,0,0.199844622840442,0,0.195978691132404,0,762.681332
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-10,0,-10,0,239.925657162959,11.8844743733151,187.280123009925,12.0955882741054,253.024040779262,23.8007669302194,10.7497997850704,22.7249168594334,10.826269953093,24.0316178711159,0.0644454065821605,0.278574792332576,0.072913954317946,0.276397182561443,0.0627638912719207,0,0.193463060930043,0,0.189652621064703,0,735.699319
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-9,0,-9,0,223.075748977722,12.2588399345561,167.461336276205,12.4861108426589,235.269797762307,23.4845235980595,10.884493744354,22.2391455238683,10.964271859646,23.7156617916477,0.0668264264669696,0.274618024514382,0.0770877561316247,0.272378727459495,0.0650812654991354,0,0.187821390255632,0,0.184565868817284,0,760.033586
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-8,0,-8,0,205.002721281018,12.5688120351021,147.773297413057,12.8109378310145,216.126453761488,23.1175962607764,10.9929423146631,21.6959596427622,11.0758092364992,23.3470792754731,0.0696986887874144,0.271470932711132,0.0820354550733993,0.269174583174682,0.0678921937432507,0,0.183992453109393,0,0.18034848877215,0,692.250199
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-7,0,-7,0,186.068892472336,12.8190534480042,128.720769241268,13.0747769334354,195.993797573181,22.6967377261033,11.0785595829627,21.0964862646263,11.1643428817759,22.9224232787503,0.0731441891634834,0.269015211619385,0.0878608410985096,0.266665632707256,0.0712804131639399,0,0.180977396322741,0,0.177610891198994,0,658.911527
10000000000,33000000000,10000000000,33000000000,10000000000,OOK+16QAM+OOK+16QAM+OOK,-100000000000,-50000000000,0,50000000000,100000000000,0,-6,0,-6,0,166.718457612653,13.0133373426603,110.744491508366,13.2814929615294,175.36703797693,22.2198368378466,11.143886880784,20.4432213338706,11.2324689645597,22.4394796662413,0.0772529233386463,0.267166373505622,0.0946743843390754,0.264766503373237,0.0753378622432064,0,0.179238651918168,0,0.175724168547224,0,653.644432
