symbolRate,modulation,centerFrequency,powerdBm,SNR,SNRdB,EVM,SER
32000000000,16QAM,0,-13,44.47713949,16.48136848,0.148291779,0.004539698
64000000000,16QAM,0,-13,22.17423867,13.45848718,0.207730005,0.054987564
32000000000,16QAM,0,-14,35.337106,15.48230979,0.165893898,0.012589077
64000000000,16QAM,0,-14,17.61142856,12.45794585,0.231799012,0.09470038
32000000000,16QAM,0,-15,28.0723717,14.48279106,0.185464788,0.028069827
64000000000,16QAM,0,-15,13.9866361,11.45713276,0.258314751,0.14591885
32000000000,16QAM,0,-16,22.29993854,13.48303666,0.207167935,0.054667114
64000000000,16QAM,0,-16,11.10738958,10.45612005,0.287392971,0.20606412
32000000000,16QAM,0,-17,17.7139763,12.48316059,0.231161866,0.093891627
64000000000,16QAM,0,-17,0.690267697,-1.609824504,0.769202688,0.83498516
32000000000,16QAM,0,-18,14.07090726,11.48322101,0.257590239,0.144347123
64000000000,16QAM,0,-18,0.86255771,-0.642118383,0.732759573,0.812347883
32000000000,16QAM,0,-19,11.1769878,10.48324777,0.2865691,0.20636931
64000000000,16QAM,0,-19,0.780192751,-1.077980891,0.749520234,0.822892109
32000000000,16QAM,0,-20,0.93688793,-0.283123562,0.718559357,0.80296337
64000000000,16QAM,0,-20,0.52758312,-2.777091082,0.809128349,0.858934743
32000000000,16QAM,0,-10,88.48642943,19.46876671,0.105742815,3.05E-05
64000000000,16QAM,0,-10,44.21663143,16.45585654,0.148716943,0.004570217
32000000000,16QAM,0,-11,70.40282818,18.47590106,0.118360132,0.000259411
64000000000,16QAM,0,-11,35.13941635,15.45794544,0.166346931,0.012756932
32000000000,16QAM,0,-12,55.96962766,17.47952418,0.13249771,0.001266537
64000000000,16QAM,0,-12,27.91642211,14.45859756,0.185964843,0.028809913
32000000000,16QAM,0,-5,254.8095565,24.06215712,0.063080345,0
64000000000,16QAM,0,-5,134.6588419,21.29234875,0.085899441,0
32000000000,16QAM,0,-6,212.1366018,23.26615608,0.068817014,0
64000000000,16QAM,0,-6,106.0045384,20.25324459,0.096695086,7.63E-06
32000000000,16QAM,0,-7,172.6816176,22.37246108,0.076060754,0
64000000000,16QAM,0,-7,87.48545219,19.41935841,0.106322277,5.34E-05
32000000000,16QAM,0,-8,134.155312,21.27607874,0.086119201,0
64000000000,16QAM,0,-8,69.83284753,18.44059751,0.118826915,0.000282301
32000000000,16QAM,0,-9,111.0375577,20.45469901,0.094532227,0
64000000000,16QAM,0,-9,55.60291474,17.45097558,0.132922347,0.001220759
32000000000,16QAM,0,-1,271.2478869,24.33366364,0.064193525,0
64000000000,16QAM,0,-1,214.5663327,23.31561578,0.068425453,0
32000000000,16QAM,0,-2,310.7552763,24.92418511,0.059069032,0
64000000000,16QAM,0,-2,211.6804833,23.25680818,0.068769983,0
32000000000,16QAM,0,-3,317.1623193,25.01281585,0.057620089,0
64000000000,16QAM,0,-3,191.3233369,22.81767947,0.072229475,0
32000000000,16QAM,0,-4,293.9369987,24.68254255,0.059176582,0
64000000000,16QAM,0,-4,163.2385909,22.12822837,0.07810223,0
32000000000,16QAM,0,0,211.8097509,23.25945949,0.073560167,0
64000000000,16QAM,0,0,194.4361656,22.88777048,0.072004951,1.53E-05
32000000000,16QAM,0,1,151.6068303,21.80718768,0.087666955,0.000236522
64000000000,16QAM,0,1,156.9040013,21.95634019,0.080251746,0.000114446
32000000000,16QAM,0,2,102.4281353,20.10419267,0.107099518,0.002296553
64000000000,16QAM,0,2,111.7578601,20.48278078,0.095062986,0.000915569
32000000000,16QAM,0,3,66.84549633,18.25072152,0.132680437,0.009354066
64000000000,16QAM,0,3,78.7702448,18.96362195,0.113159792,0.003692796
32000000000,16QAM,0,10,0.444615009,-3.520158805,0.854815086,0.912578396
64000000000,16QAM,0,10,0.421761713,-3.749328475,0.841013665,0.875474952
32000000000,16QAM,0,4,42.74633111,16.30898845,0.165554546,0.026757511
64000000000,16QAM,0,4,51.78689533,17.14219875,0.139176914,0.012116033
32000000000,16QAM,0,5,26.98337904,14.31096334,0.207221301,0.065493721
64000000000,16QAM,0,5,33.22587681,15.2147645,0.172890745,0.031213282
32000000000,16QAM,0,6,16.8575395,12.26794186,0.25952137,0.135939145
64000000000,16QAM,0,6,20.99315935,13.22077802,0.215706523,0.07414585
32000000000,16QAM,0,7,10.41387241,10.17612253,0.324543751,0.248561793
64000000000,16QAM,0,7,13.10904786,11.17571149,0.269322308,0.151160484
32000000000,16QAM,0,8,0.610409843,-2.14378472,0.799028823,0.864206856
64000000000,16QAM,0,8,8.08699477,9.077871622,0.335567683,0.263462683
32000000000,16QAM,0,9,0.480301967,-3.184856346,0.837141489,0.899372077
64000000000,16QAM,0,9,0.560358682,-2.515338952,0.80234793,0.848557215
