symbolRate_1,symbolRate_2,modulation,centerFrequency_1,centerFrequency_2,powerdBm_1,powerdBm_2,SNR_1,SNR_2,SNRdB_1,SNRdB_2,EVM_1,EVM_2,SER_1,SER_2
32000000000,32000000000,16QAM+16QAM,0,50000000000,-10,-10,70.4538829714649,68.3469345376327,18.479049336641,18.3471904058276,0.118326979711216,0.120073107190872,0.000610537883875695,0.000122107576775139
32000000000,32000000000,16QAM+16QAM,0,50000000000,-9,-10,86.4266157029389,66.2044621405426,19.366475072114,18.2088726161051,0.107001922605237,0.121973973506178,6.10537883875694e-05,0.000244215153550278
32000000000,32000000000,16QAM+16QAM,0,50000000000,10,-9,0.440085227593191,0.350899158772253,-3.56463209220369,-4.54817672938788,0.857488520044518,0.860820055702059,0.91660052506258,0.884051776773721
32000000000,32000000000,16QAM+16QAM,0,50000000000,9,-9,0.484173187143066,0.389053008319149,-3.14999264869994,-4.09991222190709,0.836927324042191,0.848835350964038,0.90145316888509,0.881983027046828
32000000000,32000000000,16QAM+16QAM,0,50000000000,-1,-1,113.528228110339,114.615754580856,20.5510385966418,20.5924431795654,0.0959254556979919,0.0953334837862869,6.10537883875694e-05,0.000244215153550278
32000000000,32000000000,16QAM+16QAM,0,50000000000,0,-1,108.134270070274,91.8651017389335,20.3396335300739,19.6315056034537,0.0995292271965445,0.105905506515194,0.000244215153550278,0.000610537883875695
32000000000,32000000000,16QAM+16QAM,0,50000000000,7,7,0.835606030654982,0.619551731271216,-0.779984343323111,-2.07922425094782,0.747392036804468,0.79206928216633,0.828805177361255,0.854386714695647
32000000000,32000000000,16QAM+16QAM,0,50000000000,8,7,0.700583518533091,0.574289079432158,-1.54540083824388,-2.40869442098507,0.779992341330756,0.802855973256355,0.85456987606081,0.861224738995055
32000000000,32000000000,16QAM+16QAM,0,150000000000,-5,-6,251.697563693559,206.664990680331,24.0087901181549,23.1526691280487,0.0635106576473027,0.0697236064963907,0,0
32000000000,32000000000,16QAM+16QAM,0,150000000000,-6,-6,209.839462203856,208.224694704434,23.2188716453332,23.18532234002,0.0692233308457852,0.069463366744011,0,0
32000000000,32000000000,16QAM+16QAM,0,150000000000,-3,-6,313.022998341364,200.727594288493,24.955762470858,23.0260707962977,0.0580687438379807,0.0707394255224373,0,0
32000000000,32000000000,16QAM+16QAM,0,150000000000,-4,-6,290.077746225376,204.298387245471,24.6251441249025,23.1026493827632,0.0596231400384068,0.0701235203411099,0,0
32000000000,32000000000,16QAM+16QAM,0,150000000000,-1,-6,268.841381748976,187.619068427736,24.2949611885348,22.7327697525893,0.0645917855238297,0.0731449869015454,0,0
32000000000,32000000000,16QAM+16QAM,0,150000000000,-2,-6,307.159682097115,195.402565416498,24.8736420943282,22.9093026121958,0.0595009373988298,0.0716879866653879,0,0
32000000000,32000000000,16QAM+16QAM,0,100000000000,-2,1,180.303898305694,139.112196757904,22.5600511659677,21.4336520872993,0.076245252018251,0.0911244783195889,0,0.000427376518712986
32000000000,32000000000,16QAM+16QAM,0,100000000000,-3,1,182.269940711369,138.685034949549,22.607150523106,21.4202960029841,0.0751365797884343,0.0913150656370359,0,0.000549484095488125
32000000000,32000000000,16QAM+16QAM,0,150000000000,8,-6,0.61405377587123,25.1940649494731,-2.11793593775013,14.0129824461996,0.798783021418065,0.195634456344777,0.864635486628404,0.0677086513218145
32000000000,32000000000,16QAM+16QAM,0,150000000000,9,-6,0.643747826348123,16.5519406293513,-1.91284224368786,12.1884891987666,0.798808616581206,0.238927809540634,0.873244596409818,0.128335063190671
32000000000,32000000000,16QAM+16QAM,0,150000000000,-8,-5,137.080019328022,251.459393758651,21.3697415699253,24.0046786418182,0.0852196402261684,0.0635075715923396,0,0
32000000000,32000000000,16QAM+16QAM,0,150000000000,-9,-5,109.830507966554,252.090935589734,20.4072299221961,24.01557230071,0.0950560534806595,0.0634282347127107,0,0
32000000000,32000000000,16QAM+16QAM,0,100000000000,1,1,109.47249196276,113.610613884838,20.393050042025,20.554189065184,0.10109755282191,0.0994752167620499,0.00122107576775139,0.00122107576775139
32000000000,32000000000,16QAM+16QAM,0,100000000000,2,1,82.833154409176,99.3920205323734,19.182042002508,19.9735151942888,0.117424222525912,0.105512763670037,0.00378533488002931,0.00195372122840222
32000000000,32000000000,16QAM+16QAM,0,150000000000,-6,-5,208.199386881518,249.054468598778,23.1847944623904,23.9629433836064,0.0694919525329259,0.063810977513381,0,0
32000000000,32000000000,16QAM+16QAM,0,150000000000,-7,-5,169.97344864197,250.504348053734,22.3038108603202,23.9881526840428,0.0766834081334027,0.0636277336344297,0,0
32000000000,32000000000,16QAM+16QAM,0,100000000000,3,1,57.0631306230718,82.9390194036258,17.5635559443337,19.1875889635098,0.142068140074702,0.114401896136205,0.0126381341962269,0.00354111972647903
32000000000,32000000000,16QAM+16QAM,0,100000000000,4,1,38.9192295776221,64.7148183954529,15.9016423464104,18.1100373678174,0.172397805539942,0.128097713873854,0.0321753464802491,0.00696013187618292
32000000000,32000000000,16QAM+16QAM,0,150000000000,-1,-5,266.174187042584,220.298560661087,24.2516593630571,23.4301165966103,0.0648811504491811,0.0677850812736413,0,0
32000000000,32000000000,16QAM+16QAM,0,150000000000,0,-5,208.950290761372,205.30106416806,23.2004297981547,23.1239120052071,0.0741700803240844,0.0701760648970176,6.10537883875694e-05,0
