Time, activity
08-Nov-2018 11:29:31, simulate link 2
08-Nov-2018 11:29:31, simulate link 3
08-Nov-2018 11:29:31, simulate link 4
08-Nov-2018 11:29:31, simulate link 5
08-Nov-2018 11:29:31, down conversion for channel 1
08-Nov-2018 11:29:31, synchronize for channel 1
08-Nov-2018 11:29:32, match signals for channel 1
08-Nov-2018 11:29:32, find point cloud centers for channel 1
08-Nov-2018 11:29:32, simulation finishes for channel 1
08-Nov-2018 11:29:32, compute signal quality for channel 1
08-Nov-2018 11:29:32, simulation finishes
Time, activity
08-Nov-2018 11:29:57, simulation starts
08-Nov-2018 11:29:57, generate signals
08-Nov-2018 11:29:57, simulate link 1
08-Nov-2018 11:30:00, simulate link 2
08-Nov-2018 11:30:04, simulate link 3
08-Nov-2018 11:30:08, simulate link 4
08-Nov-2018 11:30:12, simulate link 5
08-Nov-2018 11:30:15, down conversion for channel 1
08-Nov-2018 11:30:16, synchronize for channel 1
08-Nov-2018 11:30:24, match signals for channel 1
08-Nov-2018 11:30:24, find point cloud centers for channel 1
08-Nov-2018 11:30:24, simulation finishes for channel 1
08-Nov-2018 11:30:24, compute signal quality for channel 1
08-Nov-2018 11:30:24, simulation finishes
