Time, activity
08-Nov-2018 10:29:57, simulation starts
08-Nov-2018 10:29:57, generate signals
08-Nov-2018 10:29:57, simulate link 1
08-Nov-2018 10:30:14, simulate link 2
08-Nov-2018 10:30:32, simulate link 3
Time, activity
08-Nov-2018 10:30:58, simulation starts
08-Nov-2018 10:30:58, generate signals
08-Nov-2018 10:30:58, simulate link 1
08-Nov-2018 10:30:58, simulate link 2
08-Nov-2018 10:30:58, simulate link 3
08-Nov-2018 10:30:59, simulate link 4
08-Nov-2018 10:30:59, simulate link 5
08-Nov-2018 10:30:59, down conversion for channel 1
08-Nov-2018 10:30:59, synchronize for channel 1
08-Nov-2018 10:31:00, match signals for channel 1
08-Nov-2018 10:31:00, find point cloud centers for channel 1
08-Nov-2018 10:31:00, simulation finishes for channel 1
08-Nov-2018 10:31:00, compute signal quality for channel 1
08-Nov-2018 10:31:00, simulation finishes
Time, activity
08-Nov-2018 10:31:23, simulation starts
08-Nov-2018 10:31:23, generate signals
08-Nov-2018 10:31:23, simulate link 1
08-Nov-2018 10:31:23, simulate link 2
08-Nov-2018 10:31:23, simulate link 3
08-Nov-2018 10:31:23, simulate link 4
08-Nov-2018 10:31:23, simulate link 5
08-Nov-2018 10:31:24, down conversion for channel 1
08-Nov-2018 10:31:24, synchronize for channel 1
08-Nov-2018 10:31:24, match signals for channel 1
08-Nov-2018 10:31:24, find point cloud centers for channel 1
08-Nov-2018 10:31:24, simulation finishes for channel 1
08-Nov-2018 10:31:24, compute signal quality for channel 1
08-Nov-2018 10:31:24, simulation finishes
Time, activity
08-Nov-2018 10:39:53, simulation starts
08-Nov-2018 10:39:53, generate signals
08-Nov-2018 10:39:53, simulate link 1
08-Nov-2018 10:39:53, simulate link 2
08-Nov-2018 10:39:53, simulate link 3
08-Nov-2018 10:39:53, simulate link 4
08-Nov-2018 10:39:53, simulate link 5
08-Nov-2018 10:39:54, down conversion for channel 1
08-Nov-2018 10:39:54, synchronize for channel 1
08-Nov-2018 10:39:54, match signals for channel 1
08-Nov-2018 10:39:54, find point cloud centers for channel 1
08-Nov-2018 10:39:54, simulation finishes for channel 1
08-Nov-2018 10:39:54, compute signal quality for channel 1
08-Nov-2018 10:39:54, simulation finishes
Time, activity
08-Nov-2018 10:41:43, simulation starts
08-Nov-2018 10:41:43, generate signals
08-Nov-2018 10:41:43, simulate link 1
08-Nov-2018 10:41:43, simulate link 2
08-Nov-2018 10:41:44, simulate link 3
08-Nov-2018 10:41:44, simulate link 4
08-Nov-2018 10:41:44, simulate link 5
08-Nov-2018 10:41:44, down conversion for channel 1
08-Nov-2018 10:41:44, synchronize for channel 1
08-Nov-2018 10:41:45, match signals for channel 1
08-Nov-2018 10:41:45, find point cloud centers for channel 1
08-Nov-2018 10:41:45, simulation finishes for channel 1
08-Nov-2018 10:41:45, compute signal quality for channel 1
08-Nov-2018 10:41:45, simulation finishes
Time, activity
08-Nov-2018 10:42:46, simulation starts
08-Nov-2018 10:42:46, generate signals
08-Nov-2018 10:42:46, simulate link 1
08-Nov-2018 10:42:46, simulate link 2
08-Nov-2018 10:42:46, simulate link 3
08-Nov-2018 10:42:46, simulate link 4
08-Nov-2018 10:42:46, simulate link 5
08-Nov-2018 10:42:46, down conversion for channel 1
08-Nov-2018 10:42:46, synchronize for channel 1
08-Nov-2018 10:42:47, match signals for channel 1
08-Nov-2018 10:42:47, find point cloud centers for channel 1
08-Nov-2018 10:42:47, simulation finishes for channel 1
08-Nov-2018 10:42:47, compute signal quality for channel 1
08-Nov-2018 10:42:47, simulation finishes
Time, activity
08-Nov-2018 10:47:42, simulation starts
08-Nov-2018 10:47:42, generate signals
08-Nov-2018 10:47:42, simulate link 1
08-Nov-2018 10:47:42, simulate link 2
08-Nov-2018 10:47:42, simulate link 3
08-Nov-2018 10:47:43, simulate link 4
08-Nov-2018 10:47:43, simulate link 5
08-Nov-2018 10:47:43, down conversion for channel 1
08-Nov-2018 10:47:43, synchronize for channel 1
08-Nov-2018 10:47:43, match signals for channel 1
08-Nov-2018 10:47:43, find point cloud centers for channel 1
08-Nov-2018 10:47:43, simulation finishes for channel 1
08-Nov-2018 10:47:43, compute signal quality for channel 1
08-Nov-2018 10:47:43, simulation finishes
Time, activity
08-Nov-2018 10:49:16, simulation starts
08-Nov-2018 10:49:16, generate signals
08-Nov-2018 10:49:16, simulate link 1
08-Nov-2018 10:49:16, simulate link 2
08-Nov-2018 10:49:16, simulate link 3
08-Nov-2018 10:49:16, simulate link 4
08-Nov-2018 10:49:16, simulate link 5
08-Nov-2018 10:49:16, down conversion for channel 1
08-Nov-2018 10:49:16, synchronize for channel 1
08-Nov-2018 10:49:17, match signals for channel 1
08-Nov-2018 10:49:17, find point cloud centers for channel 1
08-Nov-2018 10:49:17, simulation finishes for channel 1
08-Nov-2018 10:49:17, compute signal quality for channel 1
08-Nov-2018 10:49:17, simulation finishes
Time, activity
08-Nov-2018 11:04:29, simulation starts
08-Nov-2018 11:04:29, generate signals
08-Nov-2018 11:04:29, simulate link 1
08-Nov-2018 11:04:33, simulate link 2
08-Nov-2018 11:04:37, simulate link 3
08-Nov-2018 11:04:40, simulate link 4
08-Nov-2018 11:04:44, simulate link 5
08-Nov-2018 11:04:48, down conversion for channel 1
08-Nov-2018 11:04:48, synchronize for channel 1
08-Nov-2018 11:04:57, match signals for channel 1
08-Nov-2018 11:04:57, find point cloud centers for channel 1
08-Nov-2018 11:04:57, simulation finishes for channel 1
08-Nov-2018 11:04:57, compute signal quality for channel 1
08-Nov-2018 11:04:57, simulation finishes
Time, activity
08-Nov-2018 11:15:05, simulation starts
08-Nov-2018 11:15:05, generate signals
08-Nov-2018 11:15:05, simulate link 1
08-Nov-2018 11:15:09, simulate link 2
08-Nov-2018 11:15:13, simulate link 3
08-Nov-2018 11:15:16, simulate link 4
08-Nov-2018 11:15:20, simulate link 5
08-Nov-2018 11:15:24, down conversion for channel 1
08-Nov-2018 11:15:24, synchronize for channel 1
08-Nov-2018 11:15:32, match signals for channel 1
08-Nov-2018 11:15:32, find point cloud centers for channel 1
08-Nov-2018 11:15:33, simulation finishes for channel 1
08-Nov-2018 11:15:33, compute signal quality for channel 1
08-Nov-2018 11:15:33, simulation finishes
Time, activity
08-Nov-2018 11:25:54, simulation starts
08-Nov-2018 11:25:54, generate signals
08-Nov-2018 11:25:54, simulate link 1
08-Nov-2018 11:25:57, simulate link 2
08-Nov-2018 11:26:01, simulate link 3
08-Nov-2018 11:26:05, simulate link 4
08-Nov-2018 11:26:09, simulate link 5
08-Nov-2018 11:26:13, down conversion for channel 1
08-Nov-2018 11:26:13, synchronize for channel 1
08-Nov-2018 11:26:21, match signals for channel 1
08-Nov-2018 11:26:21, find point cloud centers for channel 1
08-Nov-2018 11:26:22, simulation finishes for channel 1
08-Nov-2018 11:26:22, compute signal quality for channel 1
08-Nov-2018 11:26:22, simulation finishes
Time, activity
08-Nov-2018 11:28:48, simulation starts
08-Nov-2018 11:28:48, generate signals
08-Nov-2018 11:28:48, simulate link 1
08-Nov-2018 11:28:48, simulate link 2
08-Nov-2018 11:28:48, simulate link 3
08-Nov-2018 11:28:48, simulate link 4
08-Nov-2018 11:28:48, simulate link 5
08-Nov-2018 11:28:49, down conversion for channel 1
08-Nov-2018 11:28:49, synchronize for channel 1
08-Nov-2018 11:28:49, match signals for channel 1
08-Nov-2018 11:28:49, find point cloud centers for channel 1
08-Nov-2018 11:28:49, simulation finishes for channel 1
08-Nov-2018 11:28:49, compute signal quality for channel 1
08-Nov-2018 11:28:49, simulation finishes
Time, activity
08-Nov-2018 11:29:30, simulation starts
08-Nov-2018 11:29:30, generate signals
08-Nov-2018 11:29:30, simulate link 1
