power_OOK_dBm,power_QAM_dBm,spacing_GHz,snr_QAM,snr_OOK_mean
-10,-10,30,8.62917253117713,14.4990893382357
-10,-10,35,9.42704844832901,17.0030070583043
-10,-10,40,9.64214556258375,11.9434679061716
-10,-10,45,9.6580611588902,17.0893476044331
-10,-10,50,9.66942690300046,14.4617625128471
-10,-10,55,9.67255071248757,26.2802161557087
-10,-10,60,9.67232366958672,22.2313374438687
-10,-10,65,9.67714130426095,19.4324718325154
-10,-10,70,9.67951281202982,16.74877230607
-10,-10,75,9.67763657591648,10.7731433474055
-10,-10,80,9.68526952348171,21.0931729208474
-10,-10,85,9.6918120645961,27.2892859058457
-10,-10,90,9.687777773577,30.4631851840672
-10,-10,95,9.68868450257698,32.5376215853268
-10,-10,100,9.69758654318042,32.1652239438161
-10,-10,105,9.69782337269496,29.8564429589762
-10,-10,110,9.69379782293777,27.820819003336
-10,-10,115,9.69689948596118,27.5913392444823
-10,-10,120,9.70289642394518,24.0664976759557
-10,-10,125,9.70430314635207,17.6640231255173
-10,-10,130,9.69939131436956,8.73908554613521
-10,-10,135,9.70467883532945,14.9588769262973
-10,-10,140,9.70635589445206,11.9000506233662
-10,-10,145,9.70650180332232,11.060945914631
-10,-10,150,9.7066404794877,21.5601755938704
-10,-10,155,9.71082059063002,23.8622085800821
-10,-10,160,9.71201387097704,27.4454042600596
-10,-10,165,9.70992116406194,28.3604776897453
-10,-10,170,9.70874477116282,15.9276240543857
-10,-10,175,9.71226180495696,11.458061285886
-10,-10,180,9.7132977710474,25.0863339398317
-10,-10,185,9.71370753987765,10.4788057469369
-10,-10,190,9.71159736100476,21.251998886282
-10,-10,195,9.71322994379804,20.9459968136737
-10,-10,200,9.716009683947,16.2494524179945
-10,-9,30,10.8199498817719,13.7472345418549
-10,-9,35,11.826287973603,16.9471288990092
-10,-9,40,12.0962874744894,11.9364696279498
-10,-9,45,12.1185302643169,17.0793065175947
-10,-9,50,12.1349745248654,14.4517325120879
-10,-9,55,12.1396060094008,26.265583051169
-10,-9,60,12.1407331641103,22.2244416053143
-10,-9,65,12.1478472450413,18.6104551497105
-10,-9,70,12.1512509512857,16.7492130440142
-10,-9,75,12.1499844469135,10.7716926007062
-10,-9,80,12.1596295311483,21.0881681815312
-10,-9,85,12.1685140332134,27.2750460913691
-10,-9,90,12.1646592075705,30.4524108444427
-10,-9,95,12.1660752270786,32.5369414406094
-10,-9,100,12.1777111816177,32.1602985050648
-10,-9,105,12.1784894503762,29.845036968411
-10,-9,110,12.1735858697225,27.815723077975
-10,-9,115,12.1777570080584,27.5838862917824
-10,-9,120,12.1857797860396,24.0577527001153
-10,-9,125,12.1881242929606,17.6634880306663
-10,-9,130,12.1818314464827,8.73859509183933
-10,-9,135,12.1888489772208,14.9604275582052
-10,-9,140,12.1914553764516,12.3896754268828
-10,-9,145,12.1919972836447,11.0606721619397
-10,-9,150,12.1923638385538,21.5610724147546
-10,-9,155,12.1976437600818,23.8592186768536
-10,-9,160,12.1992572142929,26.636394844462
-10,-9,165,12.1970827119635,28.3518039381458
-10,-9,170,12.1955774608207,15.924841539347
-10,-9,175,12.2001707922025,11.4563972793533
-10,-9,180,12.2017593300168,25.0828132484714
-10,-9,185,12.2024831322595,10.4779869158941
-10,-9,190,12.1988242896555,21.2425604152007
-10,-9,195,12.2018380972821,20.9455188130497
-10,-9,200,12.2058973936244,16.2479261099569
-10,-8,30,13.5540837738818,13.335005104333
-10,-8,35,14.822326157879,16.8721538033338
-10,-8,40,15.16165794256,11.9265764630676
-10,-8,45,15.1931449949189,17.0639272545687
-10,-8,50,15.2171869874017,14.4375124851742
-10,-8,55,15.2241167859971,26.2442225375313
-10,-8,60,15.2277997209671,22.2139596441109
-10,-8,65,15.2383681747367,18.6046705237881
-10,-8,70,15.2432778562055,16.7488458022352
-10,-8,75,15.2433634326261,10.7692868495583
-10,-8,80,15.2556451450449,21.0805647399888
-10,-8,85,15.2678412233525,27.2551081130232
-10,-8,90,15.2647168545969,30.4363539121904
-10,-8,95,15.2670169338158,32.5333197699242
-10,-8,100,15.2824288057357,32.1516293000074
-10,-8,105,15.2839760994978,29.8288843788249
-10,-8,110,15.2781155500556,27.8076909559471
-10,-8,115,15.2837927319505,27.5728066840273
-10,-8,120,15.2945672150599,23.272111559339
-10,-8,125,15.2984967243101,17.6620348045011
-10,-8,130,15.2903796631934,8.73770299664899
-10,-8,135,15.299698818828,14.9618993226941
-10,-8,140,15.3037487606752,12.3913078594964
-10,-8,145,15.3049758816251,11.0599587034024
-10,-8,150,15.3057807359706,21.5612810397358
-10,-8,155,15.312368993419,23.8543504155171
-10,-8,160,15.3145817139513,26.6258715815409
-10,-8,165,15.3125813778682,28.3397609951409
-10,-8,170,15.3106476626286,15.9205306667373
-10,-8,175,15.3166830504393,11.4539773536055
-10,-8,180,15.3190962875472,25.0773663145042
-10,-8,185,15.320284173111,10.4766386789363
-10,-8,190,15.3142461776362,21.2297259567222
-10,-8,195,15.3193700340066,20.9440036769292
-10,-8,200,15.3253850710358,16.2455524925944
-10,-7,30,16.9522651676814,12.8406583400047
-10,-7,35,18.5482737392405,16.771431068975
-10,-7,40,18.9752107543215,11.1135706822768
-10,-7,45,19.0203275531044,17.0402408001646
-10,-7,50,19.0557459525567,14.4170329068823
-10,-7,55,19.06624549633,25.6088752614503
-10,-7,60,19.0745114591712,22.1978172625629
-10,-7,65,19.0902332362316,18.5954132114548
-10,-7,70,19.0973504884877,16.7468975418253
-10,-7,75,19.1000566734895,10.7653179879832
-10,-7,80,19.1158183838623,21.0689175282574
-10,-7,85,19.1327304458456,27.2268507568637
-10,-7,90,19.131239559474,29.831588489195
-10,-7,95,19.1350599116741,31.9772247543072
-10,-7,100,19.1557822925276,32.1368300490671
-10,-7,105,19.1583253770138,29.8056130391495
-10,-7,110,19.1515580969072,27.7950474547248
-10,-7,115,19.1593628188322,26.9083222821472
-10,-7,120,19.1738166069842,23.2553707295449
-10,-7,125,19.1804520169298,17.6589999597295
-10,-7,130,19.1699081595356,8.73615455726001
-10,-7,135,19.1822448559202,14.9630071289946
-10,-7,140,19.1885307360174,12.3928878686808
-10,-7,145,19.1909102747021,11.058480031731
-10,-7,150,19.1925442278006,21.5601033379476
-10,-7,155,19.2005784995116,23.8465060326543
-10,-7,160,19.2036237873022,26.6109307098808
-10,-7,165,19.202334729535,28.3227730201407
-10,-7,170,19.1998342530506,15.913880902158
-10,-7,175,19.2077997017627,11.4504141279277
-10,-7,180,19.2114391663668,25.0689632401449
-10,-7,185,19.2133003690445,10.4744366021963
-10,-7,190,19.2036533379849,21.212030568554
-10,-7,195,19.2119241037989,20.9406512431373
-10,-7,200,19.2209478123361,16.241865146116
-10,-6,30,21.1454748417658,11.8422318930698
-10,-6,35,23.1483354612621,16.4797863947285
-10,-6,40,23.6857448685807,11.0953676066293
-10,-6,45,23.7510599171496,17.0036190757938
-10,-6,50,23.8034443133898,13.6623494829309
-10,-6,55,23.8195656995167,25.5651213145787
-10,-6,60,23.8357644364932,22.1727346961529
-10,-6,65,23.8590640204832,18.5806026988809
-10,-6,70,23.8694160496155,16.7420637659937
-10,-6,75,23.876857212568,10.7588092046011
-10,-6,80,23.8972178906006,21.0509613946608
-10,-6,85,23.9208626982626,27.1863233327552
-10,-6,90,23.9224129518662,29.796699014806
-10,-6,95,23.9288174668464,31.9614871081051
-10,-6,100,23.9571400458104,32.1120793676096
-10,-6,105,23.9607845522644,29.7715673959841
-10,-6,110,23.9534526913391,27.7751581590021
-10,-6,115,23.9642503914784,26.8851942429237
-10,-6,120,23.9834823446716,22.4683367252311
-10,-6,125,23.9947685788915,17.653305056379
-10,-6,130,23.9809719938567,8.73354260337732
-10,-6,135,23.9971590879885,14.9632387317072
-10,-6,140,24.0068904891553,12.394150662303
-10,-6,145,24.0111575623259,11.1680339116503
-10,-6,150,24.0143404269528,21.5563589216984
-10,-6,155,24.0237288821931,23.8339535874452
-10,-6,160,24.0278768224283,26.589400471095
-10,-6,165,24.0283611575047,18.3144872583427
-10,-6,170,24.0250936315154,15.2713504962104
-10,-6,175,24.0356203408365,11.4451091643442
-10,-6,180,24.0410720019907,25.0560071747096
-10,-6,185,24.0438877357657,10.4708632082439
-10,-6,190,24.0288418855525,20.4136841420845
-10,-6,195,24.0416850361448,20.9341445358325
-10,-6,200,24.0553438045018,16.2361357247668
-10,-5,30,26.2530206149424,1.32018472024199
-10,-5,35,28.7523504116173,16.302540686693
-10,-5,40,29.4279032480075,10.41178975326
-10,-5,45,29.5230784529371,16.9468794411512
-10,-5,50,29.6004487325635,13.6225825595591
-10,-5,55,29.6254706931441,25.4989261816621
-10,-5,60,29.6549808056983,22.1335428740974
-10,-5,65,29.6891475762335,18.556938953592
-10,-5,70,29.7041949987297,16.7321805238073
-10,-5,75,29.7197933521165,10.7481999033407
-10,-5,80,29.7461647762241,21.0231485220741
-10,-5,85,29.7793629784426,27.1275440235983
-10,-5,90,29.7860254169078,29.7434436078396
