symbolRate_1,symbolRate_2,symbolRate_3,modulation,centerFrequency_1,centerFrequency_2,centerFrequency_3,powerdBm_1,powerdBm_2,powerdBm_3,SNR_1,SNR_2,SNR_3,SNRdB_1,SNRdB_2,SNRdB_3,EVM_1,EVM_2,EVM_3,SER_1,SER_2,SER_3
10000000000,32000000000,10000000000,OOK+16QAM+OOK,-50000000000,0,50000000000,-10,-10,-10,130.9541427,79.11793714,129.3121428,21.17119242,18.98274955,21.11639308,0.087135269,0.11174537,0.087651007,0,9.16E-05,0
10000000000,32000000000,10000000000,OOK+16QAM+OOK,-50000000000,0,50000000000,-10,-1,-10,82.48816994,234.3573938,80.72302053,19.16391669,23.6987866,19.06997404,0.109520111,0.068392194,0.110658527,0,0,0
10000000000,32000000000,10000000000,OOK+16QAM+OOK,-50000000000,0,50000000000,-10,-2,-10,92.38088036,263.0835874,90.51076759,19.65582097,24.20093755,19.56700248,0.103562823,0.063686751,0.104577757,0,0,0
10000000000,32000000000,10000000000,OOK+16QAM+OOK,-50000000000,0,50000000000,-10,-3,-10,101.0092931,267.5033267,99.08621752,20.04361332,24.27329187,19.9601325,0.099091018,0.062397786,0.100000957,0,0,0
10000000000,32000000000,10000000000,OOK+16QAM+OOK,-50000000000,0,50000000000,-10,-4,-10,108.3121634,250.6628797,106.3831029,20.34677231,23.99090025,20.26872653,0.095727418,0.063872254,0.096547483,0,0,0
10000000000,32000000000,10000000000,OOK+16QAM+OOK,-50000000000,0,50000000000,-10,-5,-10,114.3567914,221.5359431,112.4531988,20.58261961,23.45444198,20.50971814,0.093188266,0.067528188,0.093931557,0,0,0
10000000000,32000000000,10000000000,OOK+16QAM+OOK,-50000000000,0,50000000000,-10,-6,-10,119.2809814,188.4735333,117.4205792,20.76571204,22.75250372,20.69744218,0.091262658,0.072932572,0.091942257,0,0,0
10000000000,32000000000,10000000000,OOK+16QAM+OOK,-50000000000,0,50000000000,-10,-7,-10,123.2486798,156.599555,121.4408861,20.90782276,21.94790524,20.84364927,0.089794923,0.079817119,0.090421685,0,0,0
10000000000,32000000000,10000000000,OOK+16QAM+OOK,-50000000000,0,50000000000,-10,-8,-10,126.4223567,128.242353,124.6707668,21.01823882,21.08031478,20.95764631,0.088670441,0.088050933,0.089253305,0,0,0
10000000000,32000000000,10000000000,OOK+16QAM+OOK,-50000000000,0,50000000000,-10,-9,-10,128.9488726,104.0742729,127.2533029,21.10417549,20.17343386,21.04669063,0.087804726,0.097602555,0.088351024,0,1.53E-05,0
10000000000,32000000000,10000000000,OOK+16QAM+OOK,-50000000000,0,50000000000,-10,0,-10,71.57675092,188.7660989,69.98382667,18.54771981,22.75924001,18.44997686,0.117456232,0.077147356,0.118734231,0,1.53E-05,0
10000000000,32000000000,10000000000,OOK+16QAM+OOK,-50000000000,0,50000000000,-10,1,-10,60.09928113,139.5441453,58.72865923,17.78869277,21.4471162,17.68850086,0.128003322,0.090556702,0.129431285,0,0.000412025,0
10000000000,32000000000,10000000000,OOK+16QAM+OOK,-50000000000,0,50000000000,-10,2,-10,48.67175641,96.86957716,47.5601809,16.87277019,19.86187404,16.77243498,0.141953713,0.109290771,0.143547906,0,0.002365329,0
10000000000,32000000000,10000000000,OOK+16QAM+OOK,-50000000000,0,50000000000,-10,3,-10,37.95561691,64.50116506,37.10678159,15.79276055,18.09567559,15.69453288,0.160279783,0.134213131,0.162033484,0,0.009064551,0
