Time, activity
27-Nov-2018 00:16:50, simulation starts
Time, activity
27-Nov-2018 00:18:40, simulation starts
Time, activity
27-Nov-2018 00:20:32, simulation starts
Time, activity
27-Nov-2018 00:22:01, simulation starts
